id,review_text,sentiment
T204,Cabin crew were inattentive to passenger concerns and requests.,negative
T267,Staff demonstrated sarcasm and unwillingness to assist.,negative
T153,Nothing particularly remarkable; the journey was adequately comfortable.,neutral
T010,Stable and fast in-flight Wi-Fi enhanced the travel experience.,positive
T234,Diversion of flight was poorly managed and unclear.,negative
T227,Repeated call button alerts went unanswered.,negative
T197,Window seat provided limited visibility due to fog.,neutral
T110,Staff interactions were minimal and polite.,neutral
T006,A broad selection of in-flight entertainment was available.,positive
T176,Service delivery pace was average.,neutral
T238,Meal trays were left uncleared for an extended period.,negative
T058,A broad selection of in-flight entertainment was available.,positive
T219,Crying child was not attended to by the crew.,negative
T046,Baggage was delivered promptly and without damage.,positive
T183,Entertainment options appeared outdated.,neutral
T222,Personal belongings such as a stroller were lost.,negative
T290,Meal trays were left uncleared for an extended period.,negative
T212,Missed connecting flight due to uncommunicated delays.,negative
T149,Restroom queues were extended mid-flight.,neutral
T166,Cabin temperature was slightly warmer than preferred.,neutral
T079,Boarding announcements were professional and clearly articulated.,positive
T114,Boarding was structured but moved slowly.,neutral
T250,Extra legroom seat turned out to be misleadingly marketed.,negative
T251,Blankets were not provided despite cold night conditions.,negative
T105,"No entertainment was available, which was expected for a short flight.",neutral
T043,The airline app provided timely and helpful notifications.,positive
T282,Seatbelt mechanism was faulty and posed a safety risk.,negative
T296,Cabin crew spilled a drink without issuing an apology.,negative
T158,Seats provided standard comfort levels with no standout features.,neutral
T239,Neighboring passenger’s constant coughing was disturbing.,negative
T018,The captain communicated clearly and kept passengers well-informed.,positive
T165,Boarding was structured but moved slowly.,neutral
T034,Cabin crew maintained attentive care throughout the flight.,positive
T025,Seats reclined comfortably without disturbing fellow passengers.,positive
T216,Family members were assigned non-adjacent seats.,negative
T120,Minor delay occurred but had limited impact.,neutral
T008,Cabin crew provided outstanding assistance throughout the journey.,positive
T091,Access to the airport lounge was a valuable perk.,positive
T047,A complimentary welcome drink enhanced the initial experience.,positive
T074,Mobile check-in was convenient and expedited the process.,positive
T094,USB ports for charging were available at each seat.,positive
T077,Seats reclined comfortably without disturbing fellow passengers.,positive
T287,Customer support via phone was unhelpful and rude.,negative
T061,Restrooms remained clean and hygienic during the entire flight.,positive
T078,Cabin lighting created a calm and relaxing atmosphere.,positive
T064,Baggage claim was efficient and hassle-free.,positive
T235,Customer support via phone was unhelpful and rude.,negative
T230,Seatbelt mechanism was faulty and posed a safety risk.,negative
T112,Flight duration felt manageable and passed quickly.,neutral
T232,Incorrect boarding passes caused unnecessary confusion.,negative
T181,Cabin lighting was brighter than necessary at times.,neutral
T145,The airline mobile app malfunctioned during check-in.,neutral
T240,Window shade was damaged and unadjustable.,negative
T076,The airline accommodated dietary preferences thoughtfully.,positive
T298,Wi-Fi service failed after purchase with no refund option.,negative
T279,Repeated call button alerts went unanswered.,negative
T098,Baggage was delivered promptly and without damage.,positive
T093,In-flight reading material was thoughtfully curated and engaging.,positive
T193,Only one round of water service was conducted.,neutral
T026,Cabin lighting created a calm and relaxing atmosphere.,positive
T233,Hidden charges for baggage caused inconvenience.,negative
T060,Cabin crew provided outstanding assistance throughout the journey.,positive
T007,Boarding was efficient and executed in an orderly manner.,positive
T186,Disposable cutlery was used during meals.,neutral
T174,Crew responded when approached for assistance.,neutral
T031,Flight reached the destination ahead of the scheduled time.,positive
T023,Children were provided with engaging onboard activities.,positive
T257,"Meals served were cold, poorly presented, and lacked taste.",negative
T057,"Flight attendants were polite, cheerful, and highly professional.",positive
T187,Delayed gate pushback was offset by fast taxiing.,neutral
T109,Flight departed and landed on time with no disruptions.,neutral
T127,The fare aligned with the overall experience delivered.,neutral
T231,"Turbulence was intense, with no calming reassurances.",negative
T194,Requested a blanket twice before it was provided.,neutral
T130,Cabin lighting was brighter than necessary at times.,neutral
T283,"Turbulence was intense, with no calming reassurances.",negative
T083,Flight reached the destination ahead of the scheduled time.,positive
T085,Ground staff were efficient and welcoming.,positive
T067,Business class amenities provided a serene and luxurious experience.,positive
T289,TV monitor had visual but no audio functionality.,negative
T164,No particular element stood out during the journey.,neutral
T155,Check-in took longer than anticipated due to limited counters.,neutral
T020,Amenities such as clean blankets and pillows enhanced comfort.,positive
T125,Service delivery pace was average.,neutral
T080,Staff assistance for passengers with special needs was exemplary.,positive
T115,Cabin temperature was slightly warmer than preferred.,neutral
T119,Security protocols were routine and standard.,neutral
T073,Safety instructions were delivered effectively and attentively.,positive
T016,Flight attendants were consistently responsive and approachable.,positive
T011,Landing was exceptionally smooth and expertly managed.,positive
T195,Announcements were overly loud at times.,neutral
T102,Nothing particularly remarkable; the journey was adequately comfortable.,neutral
T069,Complimentary beverages were appreciated and served promptly.,positive
T225,Meal service skipped our row without explanation.,negative
T038,"Layovers were well-timed, ensuring smooth connections.",positive
T017,Complimentary beverages were appreciated and served promptly.,positive
T180,Overhead storage was adequate but required effort to manage.,neutral
T148,Crew skipped basic safety checks during turbulence.,neutral
T275,"Flight was overbooked, resulting in passenger removal.",negative
T068,Flight attendants were consistently responsive and approachable.,positive
T229,Professional commitments were missed due to long delays.,negative
T070,The captain communicated clearly and kept passengers well-informed.,positive
T032,Zone-wise boarding process ensured smooth transitions.,positive
T184,Departure lounge was crowded and noisy.,neutral
T266,Flight cancellation was abrupt and lacked adequate support.,negative
T226,Cabin cleanliness was below acceptable standards.,negative
T141,Air circulation was passable but not ideal.,neutral
T019,Legroom in economy class was surprisingly generous.,positive
T182,Temperature control could have been better regulated.,neutral
T097,Disembarkation was smooth and efficiently managed.,positive
T133,Departure lounge was crowded and noisy.,neutral
T263,"Legroom was severely limited, making the journey uncomfortable.",negative
T087,Tray tables and seating areas were spotless and ready for use.,positive
T249,Cabin baggage was denied entry despite visible space.,negative
T246,Wi-Fi service failed after purchase with no refund option.,negative
T117,Mild turbulence was encountered but well-handled.,neutral
T147,Limited product range in the onboard shopping catalog.,neutral
T293,Onboard snacks were overpriced and of low quality.,negative
T198,Limited product range in the onboard shopping catalog.,neutral
T207,Checked-in luggage was mishandled and not returned.,negative
T056,The in-flight meal exceeded expectations in both taste and quality.,positive
T173,Snacks were limited in quantity but sufficient.,neutral
T185,Nothing significantly positive or negative occurred.,neutral
T168,Mild turbulence was encountered but well-handled.,neutral
